,ground_truth,finetune_1,finetune_2,finetune_3,finetune_5,finetune_10,famnet_1,famnet_2,famnet_3,famnet_4,famnet_5,famnet_6,famnet_7,finetune_20,finetune_30,finetune_40,finetune_50,finetune_60,finetune_70
tile_117.jpg,1,1,1,1,1,1,2.461860179901123,2.416644811630249,3.100914478302002,3.1762495040893555,3.939067840576172,3.8579444885253906,3.7568342685699463,1,1,1,1,1,1
tile_128.jpg,1,0,1,1,1,1,2.950357437133789,2.4863758087158203,2.2951924800872803,2.1509459018707275,3.2282814979553223,3.0443081855773926,2.8374476432800293,1,1,1,1,1,1
tile_142.jpg,1,1,1,1,1,1,4.63925838470459,4.619871616363525,4.724237442016602,4.3066301345825195,5.747626781463623,5.744544982910156,5.649569034576416,2,1,2,2,1,1
tile_191.jpg,3,4,6,4,5,4,8.156608581542969,7.506319999694824,8.68750286102295,8.74513053894043,8.944597244262695,8.702299118041992,8.795661926269531,3,4,3,3,3,4
tile_197.jpg,1,2,2,1,1,1,4.654191493988037,3.4808030128479004,4.453307151794434,4.681960105895996,5.208340644836426,5.048213958740234,4.739861488342285,1,1,1,1,1,1
tile_230.jpg,1,0,0,0,0,0,1.5082875490188599,1.367950677871704,1.2685915231704712,1.242794156074524,2.5301945209503174,2.3341782093048096,2.1430163383483887,1,1,1,1,1,1
tile_237.jpg,4,7,7,5,6,6,15.930435180664062,14.579538345336914,16.01275634765625,15.4368257522583,14.959701538085938,14.695868492126465,15.015707015991211,6,6,6,6,6,6
tile_238.jpg,4,6,8,4,5,5,10.906700134277344,9.967479705810547,11.008915901184082,10.886528015136719,10.545475959777832,10.851724624633789,10.795762062072754,5,6,5,5,5,5
tile_296.jpg,1,1,2,1,1,1,3.2028579711914062,3.131563186645508,3.319415807723999,3.5190653800964355,3.608816385269165,3.5022895336151123,3.6175613403320312,1,1,1,1,1,1
tile_303.jpg,2,2,3,2,2,2,5.546347618103027,4.869912147521973,5.104367256164551,5.373199939727783,6.049042224884033,5.975498676300049,5.982854843139648,2,2,3,2,2,2
tile_315.jpg,8,10,7,7,6,8,19.264373779296875,18.306320190429688,18.82204246520996,17.819381713867188,18.095348358154297,18.307342529296875,18.448089599609375,10,7,15,9,7,12
tile_328.jpg,9,10,13,10,11,11,18.51390838623047,18.345630645751953,19.486103057861328,19.015357971191406,19.159343719482422,18.75885772705078,18.76789093017578,11,12,11,11,10,13
tile_329.jpg,3,4,4,4,3,4,12.391148567199707,8.931863784790039,9.174829483032227,9.602505683898926,10.7167387008667,10.892309188842773,10.491568565368652,4,4,4,4,4,5
tile_33.jpg,2,4,3,1,2,2,8.668193817138672,8.855340957641602,9.092010498046875,9.202177047729492,9.228515625,9.125999450683594,9.247045516967773,2,2,2,3,2,3
tile_407.jpg,0,0,0,0,0,0,0.034636516124010086,0.01732425019145012,0.07234090566635132,0.061048250645399094,0.6745118498802185,0.5621152520179749,0.498308390378952,0,0,0,0,0,0
tile_414.jpg,1,1,1,1,1,1,6.6272430419921875,6.100518226623535,6.144155502319336,6.198958396911621,7.328879356384277,7.100399017333984,7.122261047363281,1,2,1,1,1,1
tile_421.jpg,5,4,5,5,5,6,14.678169250488281,13.700616836547852,14.37674331665039,14.040621757507324,14.292145729064941,14.546478271484375,14.540687561035156,5,5,5,5,5,5
tile_427.jpg,7,7,8,8,7,7,19.632429122924805,19.04254722595215,19.377826690673828,18.436582565307617,18.847808837890625,19.01429557800293,19.087459564208984,7,7,8,8,7,9
tile_435.jpg,10,11,9,8,10,9,20.563751220703125,19.15777587890625,19.805910110473633,18.107433319091797,18.413896560668945,18.51945686340332,18.885906219482422,10,9,12,11,10,10
tile_442.jpg,5,6,4,4,4,4,18.809249877929688,18.74758529663086,18.967578887939453,17.64190673828125,18.085617065429688,18.257919311523438,18.834903717041016,4,5,5,4,5,5
tile_447.jpg,2,2,2,2,2,2,6.923171520233154,5.807036876678467,6.120609283447266,6.149716854095459,6.363995552062988,6.259023189544678,6.051687240600586,2,2,2,3,2,2
tile_452.jpg,3,2,2,2,2,2,5.725219249725342,4.5522356033325195,4.6164727210998535,4.841809272766113,5.82663631439209,5.586166858673096,5.385161876678467,2,2,2,2,2,2
tile_465.jpg,5,5,5,5,4,5,15.092475891113281,13.60268783569336,12.773249626159668,12.525944709777832,12.761373519897461,12.793927192687988,12.977550506591797,5,5,6,7,5,5
tile_47.jpg,2,2,2,2,2,2,7.367584228515625,6.9978227615356445,7.3440070152282715,7.394187927246094,8.709115028381348,8.460065841674805,8.55180549621582,2,2,2,3,2,2
tile_480.jpg,8,10,7,8,9,8,22.548999786376953,22.78480339050293,24.336166381835938,22.278907775878906,22.784027099609375,23.12436294555664,23.327392578125,8,8,9,10,8,9
tile_52.jpg,1,1,1,1,1,1,2.7289328575134277,2.325658082962036,2.220825672149658,2.248783588409424,2.957791328430176,2.922351837158203,2.805572032928467,1,1,1,1,1,1
tile_520.jpg,2,1,1,2,2,2,4.409357070922852,4.914178371429443,5.606701374053955,5.071774005889893,5.804675102233887,5.508545875549316,5.58233118057251,2,2,2,2,2,2
tile_521.jpg,4,4,3,3,3,3,8.640474319458008,7.933688163757324,7.895167350769043,8.258188247680664,8.772954940795898,8.785408973693848,9.238645553588867,3,3,3,3,3,3
tile_53.jpg,1,2,1,0,1,1,4.876832008361816,4.1273345947265625,4.011977195739746,3.8211450576782227,4.93670654296875,4.758460521697998,4.6627607345581055,1,1,1,1,1,1
tile_548.jpg,8,8,7,7,7,7,21.537919998168945,20.4274845123291,21.373519897460938,20.227842330932617,20.73278045654297,20.609161376953125,20.835851669311523,7,8,8,7,7,9
tile_569.jpg,7,7,8,7,8,8,14.376882553100586,12.953804016113281,13.673188209533691,13.672945976257324,13.123912811279297,12.942337036132812,12.905012130737305,8,7,9,9,7,11
tile_61.jpg,0,0,0,0,0,0,0.020822150632739067,0.010527916252613068,0.07098159939050674,0.05667279660701752,0.7897305488586426,0.6581169366836548,0.5667482614517212,0,0,0,0,0,0
tile_621.jpg,9,15,6,7,5,6,24.94841766357422,23.244606018066406,22.99369239807129,21.614025115966797,21.146018981933594,21.86792755126953,22.179954528808594,9,9,9,8,9,10
tile_625.jpg,11,13,11,11,11,12,28.775657653808594,27.615798950195312,28.222137451171875,26.16483497619629,26.298809051513672,26.651447296142578,26.89096450805664,12,11,12,12,13,12
tile_635.jpg,6,7,6,6,6,6,18.238605499267578,16.88619613647461,16.97575569152832,15.872349739074707,15.671727180480957,15.602670669555664,15.82238483428955,6,6,6,7,6,6
tile_642.jpg,9,7,8,9,7,7,21.387916564941406,20.798864364624023,21.968353271484375,19.816699981689453,19.300838470458984,19.074081420898438,19.44328498840332,8,8,8,8,8,9
tile_65.jpg,1,1,1,1,1,1,3.1943578720092773,4.028101921081543,5.071043014526367,4.424201965332031,5.554851055145264,5.368340015411377,5.432057857513428,1,1,1,1,1,1
tile_67.jpg,2,3,3,2,2,2,6.835260391235352,7.143327713012695,8.110356330871582,7.657866954803467,8.41967487335205,8.243034362792969,8.298236846923828,3,2,2,2,2,2
tile_700.jpg,16,19,19,16,15,18,29.17018699645996,29.239479064941406,29.128257751464844,26.847675323486328,27.09946060180664,27.586252212524414,27.885862350463867,19,16,16,21,16,23
