station_day,n_animals
KAPX20160606,21.2845
KAPX20160702,50013.42
KAPX20160716,219.9865
KAPX20160720,21330.1495
KAPX20160722,39426.4445
KAPX20160726,80.19966666666666
KAPX20160727,24.329333333333334
KAPX20160730,1736.9698
KAPX20160801,25.025333333333332
KAPX20160802,674.8685
KAPX20160807,712.7420000000001
KAPX20160808,2454.7295
KAPX20160809,18074.107
KAPX20160822,673.3774999999999
KAPX20160823,2179.20625
KAPX20160826,463.5055
KAPX20160829,15051.437
KAPX20160902,4021.98125
KAPX20160922,22896.6608
KAPX20161009,2098.546
