station_day,n_animals
KBUF20160605,233.1483
KBUF20160608,2741.6797499999993
KBUF20160611,6967.472
KBUF20160701,948.8992499999999
KBUF20160702,3967.059
KBUF20160704,10896.558874999999
KBUF20160710,5792.692100000001
KBUF20160712,21478.3619
KBUF20160715,27495.895249999998
KBUF20160716,676.5828333333334
KBUF20160717,108.8035
KBUF20160719,240.942
KBUF20160720,4798.4810333333335
KBUF20160721,1583.3075000000001
KBUF20160723,788.3634
KBUF20160724,8898.889666666668
KBUF20160726,5768.909900000001
KBUF20160727,5061.454883333334
KBUF20160728,17227.006216666665
KBUF20160729,12571.739475
KBUF20160730,3961401.68675
KBUF20160801,4825.2304
KBUF20160802,32030.440133333334
KBUF20160803,16970.9649
KBUF20160804,12629.44485
KBUF20160805,12589.742549999999
KBUF20160806,8015.223591666668
KBUF20160807,15963.340458333334
KBUF20160808,12937.099333333334
KBUF20160809,11863.63075
KBUF20160810,5261.46955
KBUF20160811,11345.239016666666
KBUF20160812,6333.389266666666
KBUF20160813,6273.9678
KBUF20160814,13590.3309
KBUF20160815,32396.408575
KBUF20160817,28672.823508333335
KBUF20160818,27001.30885
KBUF20160819,34035.73625
KBUF20160820,14209.047425
KBUF20160822,27550.927900000002
KBUF20160823,18156.74696666667
KBUF20160824,9226.866966666666
KBUF20160825,2546.789625
KBUF20160826,22442.261775
KBUF20160827,55075.45473333333
KBUF20160828,4704.025
KBUF20160829,13825.271225
KBUF20160830,16570.906983333334
KBUF20160901,21255.253583333335
KBUF20160902,6160.2096249999995
KBUF20160903,2481.2354
KBUF20160905,14174.938875
KBUF20160906,30723.7625
KBUF20160907,404.80675
KBUF20160908,289.43333333333334
KBUF20160909,1474.166
KBUF20160911,516.9702
KBUF20160912,993.0106666666666
KBUF20160913,1378.7181
KBUF20160915,2750.522333333334
KBUF20160916,1924.1736666666666
KBUF20160919,928.2595833333334
KBUF20160920,44705.30599999999
KBUF20160921,48001.864533333326
KBUF20160922,4754.052333333333
KBUF20160923,51.33216666666667
KBUF20160924,3552.698833333333
KBUF20160925,7269.037516666667
KBUF20160926,1499.6045000000001
KBUF20160927,1164.5763333333334
KBUF20160928,262.77349999999996
KBUF20161003,243.2086666666667
KBUF20161004,652.7414
KBUF20161006,873.5063333333334
KBUF20161007,1477.1066666666666
KBUF20161012,230.57866666666666
KBUF20161014,7796.48
KBUF20161017,1154.5826666666667
KBUF20161022,649.4765
KBUF20161024,125.838
KBUF20161026,9605.421166666665
KBUF20161029,3376.0613333333336
KBUF20161030,4863.869833333333
KBUF20161031,21164.469125
