station_day,n_animals
KCLE20160614,62.062
KCLE20160617,4877.720666666667
KCLE20160621,6355.822
KCLE20160707,17.835
KCLE20160710,487.87983333333335
KCLE20160711,171.5785
KCLE20160713,1359.4575
KCLE20160715,508.3855
KCLE20160716,614.4533333333334
KCLE20160717,331.82300000000004
KCLE20160719,2226.075333333333
KCLE20160720,9515.767333333333
KCLE20160721,2977.328666666667
KCLE20160722,366.539625
KCLE20160723,1587.1374666666666
KCLE20160724,1676.6420000000003
KCLE20160725,2979.253625
KCLE20160726,11160.62045
KCLE20160727,5598.9796
KCLE20160728,5540.622733333334
KCLE20160729,16269.395166666667
KCLE20160730,9579.405766666667
KCLE20160731,9575.964533333334
KCLE20160801,16989.814291666666
KCLE20160802,52833.21245
KCLE20160803,34181.96325
KCLE20160804,24798.299
KCLE20160805,14816.713183333333
KCLE20160806,22481.61135833333
KCLE20160807,14338.306633333334
KCLE20160808,33012.40873333333
KCLE20160809,32084.877383333333
KCLE20160810,5299.436900000001
KCLE20160811,12560.014733333333
KCLE20160812,14320.413466666667
KCLE20160813,10288.370458333333
KCLE20160814,8409.38905
KCLE20160815,18653.585058333334
KCLE20160816,2020.9599583333334
KCLE20160817,14471.21425
KCLE20160818,42933.008675
KCLE20160819,33626.977249999996
KCLE20160820,27562.375516666667
KCLE20160821,10492.534041666668
KCLE20160822,66176.64936666666
KCLE20160823,24658.485083333333
KCLE20160824,16249.970249999998
KCLE20160825,6977.1901333333335
KCLE20160826,55623.14926666667
KCLE20160827,63228.6308
KCLE20160828,17292.312583333332
KCLE20160829,5369.942599999999
KCLE20160830,10659.468583333333
KCLE20160831,5355.318499999999
KCLE20160901,8472.81275
KCLE20160902,3666.7162
KCLE20160903,3514.1246666666666
KCLE20160905,437.74025
KCLE20160906,2577.7036666666663
KCLE20160907,1282.0560833333334
KCLE20160908,102.18849999999999
KCLE20160909,5148.550125
KCLE20160910,22149.05625
KCLE20160911,8063.0056
KCLE20160913,40060.556833333336
KCLE20160914,322.0434333333333
KCLE20160915,3510.7160000000003
KCLE20160919,27334.235875
KCLE20160920,29060.629
KCLE20160923,3057.232
KCLE20160925,2295.162
KCLE20160928,960.4685
KCLE20161001,1239.6533333333334
KCLE20161003,5716.8645
KCLE20161004,4268.2645
KCLE20161005,5020.572
KCLE20161006,8721.440416666666
KCLE20161007,1978.3935000000001
KCLE20161010,10467.168833333333
KCLE20161011,7158.187000000001
KCLE20161014,9092.002
KCLE20161016,1970.4735
KCLE20161017,3941.697666666667
KCLE20161018,10248.544666666668
KCLE20161019,25756.371583333334
KCLE20161023,10096.685866666667
KCLE20161028,2364.931333333334
KCLE20161030,1851.62025
KCLE20161031,4451.057833333333
