station_day,n_animals
KDLH20190621,183.23933333333335
KDLH20190706,905.54
KDLH20190711,17870.664624999998
KDLH20190712,71932.23325
KDLH20190716,19461.203666666665
KDLH20190717,848.014
KDLH20190720,21409.02675
KDLH20190722,617.7633333333333
KDLH20190723,69.34975
KDLH20190731,700.3104166666667
KDLH20190801,892.4329166666666
KDLH20190802,115.18574999999998
KDLH20190803,1532.033
KDLH20190804,1628.8212500000002
KDLH20190805,832.7887999999999
KDLH20190807,2755.17075
KDLH20190808,4809.145833333333
KDLH20190809,2939.9506666666666
KDLH20190810,7878.196083333334
KDLH20190811,5685.41875
KDLH20190812,19505.150166666666
KDLH20190813,3411.1158250000003
KDLH20190814,8183.6521250000005
KDLH20190815,14824.386666666667
KDLH20190816,5006.392625
KDLH20190817,13527.607825
KDLH20190818,1302.316875
KDLH20190819,9749.668125
KDLH20190829,876.59125
KDLH20190830,4490.007666666666
KDLH20190831,2092.0085333333336
KDLH20190901,633.8386666666667
KDLH20190902,2427.2282999999998
KDLH20190904,4372.713374999999
