station_day,n_animals
KDTX20150701,10.076
KDTX20150702,71.7735
KDTX20150704,666.386
KDTX20150706,1663.2805
KDTX20150708,1116.0173333333332
KDTX20150710,1473.8526666666667
KDTX20150713,168.30700000000002
KDTX20150715,2310.247666666667
KDTX20150716,6831.7945
KDTX20150718,2132.055
KDTX20150720,2527.7835
KDTX20150721,5337.5741
KDTX20150723,67147.4885
KDTX20150724,6559.894000000001
KDTX20150725,827.11675
KDTX20150726,389.6286666666667
KDTX20150727,5606.31725
KDTX20150728,8398.04255
KDTX20150729,39096.55333333333
KDTX20150730,4690.038333333334
KDTX20150731,6523.662666666667
KDTX20150801,5258.051533333333
KDTX20150802,42278.83213333334
KDTX20150803,930.9510833333334
KDTX20150804,15271.047333333332
KDTX20150805,14169.4875
KDTX20150806,17100.32116666667
KDTX20150807,17080.300499999998
KDTX20150808,10966.886666666665
KDTX20150809,15712.543333333333
KDTX20150810,29396.69308333333
KDTX20150811,11110.6325
KDTX20150812,14059.273516666666
KDTX20150813,17510.49165
KDTX20150814,11926.28015
KDTX20150815,16669.509916666666
KDTX20150816,21549.399333333335
KDTX20150817,19029.2445
KDTX20150818,24251.99
KDTX20150819,22361.542116666664
KDTX20150820,5388.4535000000005
KDTX20150821,14262.408300000001
KDTX20150822,13458.098
KDTX20150823,28641.548583333333
KDTX20150824,14491.747000000001
KDTX20150825,2401.617333333333
KDTX20150826,7864.115633333334
KDTX20150827,10629.175666666666
KDTX20150828,14417.653
KDTX20150829,8492.7062
KDTX20150830,7915.39925
KDTX20150831,4309.241333333333
KDTX20150902,3722.7311999999997
KDTX20150903,371.794
KDTX20150904,2457.368
KDTX20150905,5449.8769999999995
KDTX20150906,8177.8205
KDTX20150908,5861.343433333333
KDTX20150909,5249.597233333334
KDTX20150910,528.4466666666667
KDTX20150911,5435.940066666667
KDTX20150912,7130.922066666667
KDTX20150913,2330.1137333333336
KDTX20150920,14035.56855
KDTX20150921,1122.5529166666665
KDTX20150922,4191.205666666667
KDTX20150923,10187.91625
KDTX20150924,5904.3966666666665
KDTX20150925,686.38325
KDTX20150930,861.6885
KDTX20151001,45.633
KDTX20151005,259.9318
KDTX20151006,152.44650000000001
KDTX20151007,10527.771733333333
KDTX20151008,8242.364
KDTX20151009,247.30633333333333
KDTX20151010,4344.068499999999
KDTX20151011,106.30199999999998
KDTX20151013,1506.3306666666667
KDTX20151015,1100.9223333333332
KDTX20151016,5005.1645
KDTX20151021,562.591
KDTX20151023,6005.8575
KDTX20151026,3079.509
KDTX20151030,1441.793
KDTX20151031,1983.9085
