station_day,n_animals
KGRB20180602,342.7645
KGRB20180609,2817.74175
KGRB20180614,23401.2448
KGRB20180623,4667.8455
KGRB20180701,3955.327625
KGRB20180713,156.33483333333334
KGRB20180716,979.5915
KGRB20180717,33536.462666666666
KGRB20180718,30262.934000000005
KGRB20180723,6249.325666666667
KGRB20180724,11709.004333333334
KGRB20180725,8667.208666666667
KGRB20180726,6188.712666666666
KGRB20180727,3460.357
KGRB20180728,4396.387
KGRB20180729,27930.744000000002
KGRB20180730,22904.4889
KGRB20180731,8141.428333333333
KGRB20180801,26135.92983333333
KGRB20180802,8409.987000000001
KGRB20180803,19557.040999999997
KGRB20180804,9773.91825
KGRB20180805,10665.208833333332
KGRB20180806,7614.25125
KGRB20180807,48096.45525
KGRB20180808,41085.74075
KGRB20180809,28622.448566666666
KGRB20180810,20132.078833333333
KGRB20180811,48407.037541666665
KGRB20180812,27282.807
KGRB20180813,35375.00816666667
KGRB20180816,14196.252666666667
KGRB20180817,29401.57231666667
KGRB20180818,86591.35316666667
KGRB20180819,13907.66025
KGRB20180821,11281.134333333333
KGRB20180822,55486.38241666667
KGRB20180823,7679.919000000001
KGRB20180824,17448.78
KGRB20180826,24612.676333333333
KGRB20180828,5783.318166666667
KGRB20180829,6703.329999999999
KGRB20180830,9736.942500000001
KGRB20180831,9128.843
KGRB20180901,4842.053
KGRB20180903,3085.6487500000003
KGRB20180906,41690.34108333333
KGRB20180907,2199.5016666666666
KGRB20180908,4007.98975
KGRB20180909,2414.9334999999996
KGRB20180910,943.0680000000001
KGRB20180911,5107.247666666667
KGRB20180912,120470.5245
KGRB20180913,10191.591
KGRB20180914,1001.208
KGRB20180916,3329.667
KGRB20180918,4979.0751666666665
KGRB20180920,327.453
KGRB20180921,6703.1965
KGRB20180922,541.7202500000001
KGRB20180923,1012.9179999999999
KGRB20180925,11200.130000000001
KGRB20180926,9136.944000000001
KGRB20181002,9081.30875
KGRB20181003,2363.84375
KGRB20181005,2585.16775
KGRB20181006,775.003875
KGRB20181007,845.781
KGRB20181016,7984.3904999999995
KGRB20181025,6997.095
KGRB20181027,25995.50933333333
