station_day,n_animals
KGRR20170626,225.2135
KGRR20170630,210.90183333333334
KGRR20170704,22010.640999999996
KGRR20170707,1526.7827499999999
KGRR20170708,2631.548666666667
KGRR20170711,71637.87783333333
KGRR20170712,512.0074999999999
KGRR20170713,76.21775
KGRR20170714,5171.6836
KGRR20170715,1231.6696666666667
KGRR20170716,2669.7814
KGRR20170717,6074.215333333334
KGRR20170718,7544.512
KGRR20170719,6353.164
KGRR20170721,2469.2815
KGRR20170723,1310.8516666666667
KGRR20170724,4805.9383333333335
KGRR20170725,8535.242416666666
KGRR20170726,3039.9643666666666
KGRR20170727,2741.4496
KGRR20170729,3471.1726666666664
KGRR20170730,13356.674833333333
KGRR20170731,10218.8445
KGRR20170801,5691.578666666666
KGRR20170802,8828.406666666666
KGRR20170803,5566.4195
KGRR20170804,10135.62305
KGRR20170805,1081.31425
KGRR20170806,10682.443833333333
KGRR20170807,5850.7615000000005
KGRR20170808,9347.643
KGRR20170809,9492.926333333335
KGRR20170810,1354.8885
KGRR20170811,2062.73425
KGRR20170812,4832.166166666666
KGRR20170813,9455.085166666666
KGRR20170814,7547.594333333333
KGRR20170815,2709.4215333333336
KGRR20170816,12404.168666666668
KGRR20170818,3357.7360000000003
KGRR20170819,16187.812166666667
KGRR20170820,53982.54533333333
KGRR20170821,6340.3568
KGRR20170822,635.2959999999999
KGRR20170823,6778.392666666667
KGRR20170824,8099.61875
KGRR20170825,5241.3698
KGRR20170826,9351.548416666667
KGRR20170827,2152.4334000000003
KGRR20170829,5591.1486
KGRR20170830,8880.3506
KGRR20170831,13667.628666666666
KGRR20170901,847.6184
KGRR20170902,2588.119666666667
KGRR20170903,302.5233333333333
KGRR20170904,394.29333333333335
KGRR20170905,1962.6382083333333
KGRR20170906,13661.393499999998
KGRR20170907,3098.747875
KGRR20170909,375.825
KGRR20170910,1878.9415
KGRR20170912,29359.885
KGRR20170914,1281.668
KGRR20170915,2495.71
KGRR20170918,8586.91925
KGRR20170923,2101.065
KGRR20170926,686.3165
KGRR20170927,7080.253833333333
KGRR20170928,13505.503833333332
KGRR20170929,1741.5727083333334
KGRR20170930,11535.881933333334
KGRR20171001,3080.44825
KGRR20171002,429.6403333333333
KGRR20171005,15565.170750000001
KGRR20171008,2942.939666666666
KGRR20171009,23804.592666666667
KGRR20171010,4282.45425
KGRR20171016,2228.1345
KGRR20171021,2709.7360000000003
KGRR20171025,25299.12275
KGRR20171026,44252.458999999995
