station_day,n_animals
KIWX20170605,447.55675
KIWX20170616,36382.34675
KIWX20170617,3474.7145
KIWX20170620,127.06649999999999
KIWX20170628,81196.0845
KIWX20170703,4540.8294
KIWX20170705,7598.740000000001
KIWX20170709,347.755
KIWX20170713,916.94375
KIWX20170715,3104.717
KIWX20170717,4090.524166666667
KIWX20170718,3851.1845000000003
KIWX20170720,175.55433333333335
KIWX20170721,608.6583333333333
KIWX20170723,4720.597791666666
KIWX20170724,975.7576666666668
KIWX20170726,1372.7330000000002
KIWX20170727,6056.704866666667
KIWX20170728,3681.8094
KIWX20170729,1674.6972
KIWX20170730,1440.9803333333332
KIWX20170731,990.8756666666667
KIWX20170801,1390.6496666666665
KIWX20170802,5263.363666666667
KIWX20170803,16178.865166666668
KIWX20170805,282.1613333333333
KIWX20170806,4589.532
KIWX20170807,12584.930400000001
KIWX20170808,3629.85425
KIWX20170809,9047.467666666666
KIWX20170810,15310.289833333334
KIWX20170811,483.11019999999996
KIWX20170812,5342.875083333333
KIWX20170813,15227.924916666667
KIWX20170814,3938.4900000000002
KIWX20170815,5441.311983333333
KIWX20170816,6899.918666666667
KIWX20170817,24.62125
KIWX20170818,10951.80475
KIWX20170819,9048.056008333333
KIWX20170820,26243.317666666666
KIWX20170821,52938.5395
KIWX20170823,25730.132833333333
KIWX20170824,49894.698375
KIWX20170825,14761.937083333332
KIWX20170826,43499.97925
KIWX20170827,130352.2577
KIWX20170830,23312.482708333337
KIWX20170831,6965.4825
KIWX20170901,4851.699833333333
KIWX20170902,4875.9398
KIWX20170904,5005.063725
KIWX20170905,12910.470000000001
KIWX20170908,4983.424875000001
KIWX20170909,594.4726666666667
KIWX20170910,230.929
KIWX20170912,181.2445
KIWX20170914,2928.8346666666666
KIWX20170917,2855.4996666666666
KIWX20170918,531903.574
KIWX20170920,561.489
KIWX20170921,218.94899999999998
KIWX20170923,6385.126
KIWX20170924,130284.52191666666
KIWX20170927,55.622
KIWX20170928,10817.267183333333
KIWX20170929,6009.686833333334
KIWX20170930,14126.5391
KIWX20171001,1035.7318
KIWX20171005,15265.198375
KIWX20171007,139.334
KIWX20171008,20046.274749999997
KIWX20171009,8854.314083333335
KIWX20171010,99026.83033333333
KIWX20171013,16743.26293333333
KIWX20171014,12867.442200000001
KIWX20171016,23153.906475
KIWX20171018,6377.0925
KIWX20171019,5093.5895
KIWX20171020,1331.3846666666666
KIWX20171021,1930.6445
KIWX20171025,6974.954000000001
KIWX20171026,3462.7086666666664
KIWX20171029,3401.8240000000005
