station_day,n_animals
KLOT20160606,58645.044
KLOT20160612,6382.2210000000005
KLOT20160613,12910.914999999999
KLOT20160624,26751.177499999998
KLOT20160625,63784.994000000006
KLOT20160709,355.432
KLOT20160710,11659.39
KLOT20160714,83.1345
KLOT20160727,582.5871666666667
KLOT20160728,48.988749999999996
KLOT20160729,6363.25375
KLOT20160730,481.0237083333334
KLOT20160731,5441.443666666667
KLOT20160801,126360.22233333335
KLOT20160802,785.0099999999999
KLOT20160803,2606.723933333333
KLOT20160804,3323.1155
KLOT20160805,731.6214
KLOT20160806,42577.88016666666
KLOT20160807,60294.877166666665
KLOT20160808,9825.467999999999
KLOT20160809,2572.3007
KLOT20160810,837.8560000000001
KLOT20160811,3569.0911666666666
KLOT20160812,2455.723
KLOT20160813,2020.1514000000002
KLOT20160814,132433.03334999998
KLOT20160815,1827.6417499999998
KLOT20160816,8300.763333333332
KLOT20160817,6841.973
KLOT20160818,6367.580333333333
KLOT20160819,2325.4399166666667
KLOT20160820,1464.6429416666667
KLOT20160821,37064.4695
KLOT20160822,6358.379
KLOT20160823,52065.69583333334
KLOT20160825,2826.28825
KLOT20160828,1714.84575
KLOT20160829,2693.183125
KLOT20160831,20605.556333333334
KLOT20160901,9973.549383333333
KLOT20160902,955.264
KLOT20160904,333.4963333333333
KLOT20160905,567.638
KLOT20160906,483.69050000000004
KLOT20160907,419.3455
KLOT20160911,3773.906333333334
KLOT20160913,757.315
KLOT20160914,11274.371000000001
KLOT20160917,4776.308333333333
KLOT20160918,20058.3701
KLOT20160919,47070.3145
KLOT20160920,49590.45716666666
KLOT20160923,11618.247483333334
KLOT20161001,286.528
KLOT20161002,101.58116666666666
KLOT20161003,1253.0983333333334
KLOT20161007,1336.9343333333334
KLOT20161008,3238.1980000000003
KLOT20161010,1032.4123333333334
KLOT20161011,2804.9696666666664
KLOT20161012,1455.8825
KLOT20161014,9835.784333333335
KLOT20161017,5069.223666666667
KLOT20161019,5672.0725
KLOT20161020,902.94
KLOT20161021,12665.3185
KLOT20161022,25455.08525
KLOT20161023,19146.5345
KLOT20161026,1649.2225
KLOT20161027,2509.3642
KLOT20161028,7783.431999999999
KLOT20161029,5984.7080000000005
KLOT20161030,962.1885
KLOT20161031,16365.142
