station_day,n_animals
KMKX20170601,1522.2369999999999
KMKX20170622,3470.9942499999997
KMKX20170623,352.63649999999996
KMKX20170629,375.27774999999997
KMKX20170630,224.97975
KMKX20170701,3133.293833333333
KMKX20170710,557.1585
KMKX20170714,935.5663333333333
KMKX20170715,2647.5355000000004
KMKX20170716,889.7496666666666
KMKX20170723,9074.4096
KMKX20170725,234.12949999999998
KMKX20170728,9479.408116666667
KMKX20170729,2960.0081999999998
KMKX20170730,1562.5426666666665
KMKX20170731,939.1692499999999
KMKX20170801,1136.1902
KMKX20170802,3324.0589
KMKX20170805,960.6166666666667
KMKX20170806,1563.34025
KMKX20170807,4871.603333333333
KMKX20170808,5446.117
KMKX20170809,722.0855000000001
KMKX20170811,26804.883
KMKX20170812,12034.1045
KMKX20170813,9982.932166666667
KMKX20170814,3699.3469999999998
KMKX20170815,21234.471
KMKX20170816,16550.535916666668
KMKX20170818,3119.863
KMKX20170819,28398.9507
KMKX20170820,4202.520666666666
KMKX20170822,2966.1254
KMKX20170823,15171.529000000002
KMKX20170824,1416.9257499999999
KMKX20170825,14008.863333333331
KMKX20170826,6739.942499999999
KMKX20170827,1346.222
KMKX20170828,664.6235
KMKX20170829,17686.71483333333
KMKX20170830,5985.49225
KMKX20170831,8247.607833333333
KMKX20170901,4291.6756000000005
KMKX20170902,4033.1693333333333
KMKX20170905,14110.318466666668
KMKX20170906,10062.0188
KMKX20170907,7676.99765
KMKX20170908,4586.934916666666
KMKX20170909,1307.496
KMKX20170911,1224.6196666666667
KMKX20170913,9017.301333333335
KMKX20170917,2055.3179999999998
KMKX20170918,26426.409833333335
KMKX20170919,6835.5689999999995
KMKX20170926,14958.1885
KMKX20170927,29570.09883333333
KMKX20170928,36082.5422
KMKX20170929,42231.3595
KMKX20170930,21858.515733333334
KMKX20171001,361.46399999999994
KMKX20171002,2133.6673333333333
KMKX20171003,1609.6035
KMKX20171004,39541.950549999994
KMKX20171005,24944.559666666668
KMKX20171006,4935.507
KMKX20171008,9005.5256
KMKX20171009,1162.6375
KMKX20171010,23114.3006
KMKX20171013,1111.9379999999999
KMKX20171016,13230.229500000001
KMKX20171019,6483.670000000001
KMKX20171021,1629.723
KMKX20171023,44724.139500000005
KMKX20171026,7600.763000000001
KMKX20171027,7955.3195
