station_day,n_animals
KTYX20190612,223.55949999999999
KTYX20190613,990.9855
KTYX20190618,244.63375000000002
KTYX20190620,384.1958
KTYX20190707,114.42633333333333
KTYX20190708,471.02037499999994
KTYX20190712,187.962875
KTYX20190714,76.43225
KTYX20190715,88.26775
KTYX20190722,316.2611
KTYX20190723,85.86416666666666
KTYX20190724,1590.0101666666667
KTYX20190725,4372.936
KTYX20190729,243.684
KTYX20190730,775.473
KTYX20190731,1616.2467333333332
KTYX20190801,5938.031325
KTYX20190802,2343.3875
KTYX20190803,1972.3715000000002
KTYX20190804,4084.3136999999997
KTYX20190805,3513.590833333333
KTYX20190806,2759.593
KTYX20190807,1444.4333
KTYX20190808,4422.903125
KTYX20190809,4697.21345
KTYX20190810,3952.35765
KTYX20190811,5745.8085
KTYX20190812,6463.4401
KTYX20190813,301.568
KTYX20190814,19051.737541666665
KTYX20190815,7177.1091000000015
KTYX20190816,4834.1322
KTYX20190817,6603.476083333333
KTYX20190818,9610.076874999999
KTYX20190819,2413.0228
KTYX20190820,21865.087066666667
KTYX20190822,3909.0593999999996
KTYX20190823,8210.311816666666
KTYX20190824,5553.956283333333
KTYX20190825,5995.3989
KTYX20190826,5650.028166666667
KTYX20190827,4465.483333333333
KTYX20190829,5787.339
KTYX20190831,5046.51275
KTYX20190901,7540.3091
KTYX20190903,6273.4250833333335
KTYX20190905,13056.187125
KTYX20190906,8264.670525000001
KTYX20190907,4871.675166666667
KTYX20190908,2164.7597083333335
KTYX20190909,456.2560833333333
KTYX20190910,1.0405
KTYX20190913,264.4286666666667
KTYX20190917,1156.60775
KTYX20190930,750.7536666666666
KTYX20191008,249.21395833333332
KTYX20191018,492.22425
KTYX20191021,90.85516666666666
KTYX20191025,5816.30575
KTYX20191028,3324.1627500000004
KTYX20191029,1726.5953333333332
