station_day,n_animals
KBUF20170706,255.24925000000002
KBUF20170724,970.84875
KBUF20170725,785.11775
KBUF20170726,3515.4946666666665
KBUF20170728,1972.3558166666667
KBUF20170730,4359.5078
KBUF20170731,3775.2315000000003
KBUF20170801,10695.878566666668
KBUF20170802,6728.7545
KBUF20170803,10182.261124999999
KBUF20170804,1553.2840999999999
KBUF20170805,1738.9162500000002
KBUF20170806,3586.3016666666663
KBUF20170807,6173.401466666666
KBUF20170808,8148.288200000001
KBUF20170809,5937.96375
KBUF20170810,10335.3481
KBUF20170811,1611.7501333333335
KBUF20170812,8460.696666666667
KBUF20170813,20477.19534166667
KBUF20170814,16207.676
KBUF20170815,5452.0785
KBUF20170816,30122.14575
KBUF20170817,9500.729591666666
KBUF20170818,4427.9547
KBUF20170819,8417.144624999999
KBUF20170820,10986.38985
KBUF20170821,6837.400791666667
KBUF20170822,1447.6786
KBUF20170823,5988.514300000001
KBUF20170824,8294.137383333335
KBUF20170825,16135.5955
KBUF20170826,17689.889233333335
KBUF20170827,4142.215249999999
KBUF20170828,3406.952566666667
KBUF20170829,926.0652500000001
KBUF20170830,7814.652475
KBUF20170831,1044.2856666666667
KBUF20170901,3119.523891666667
KBUF20170902,1480.3073
KBUF20170904,3602.719
KBUF20170906,2631.334791666667
KBUF20170907,817.6706666666665
KBUF20170908,459.086
KBUF20170909,3696.379125
KBUF20170910,4880.51325
KBUF20170928,1528.711875
KBUF20170929,1775.693125
KBUF20170930,1407.1544
KBUF20171001,620.7401
KBUF20171002,850.5504999999999
KBUF20171026,1722.9675000000002
