station_day,n_animals
KCLE20170724,1386.9501249999998
KCLE20170725,1609.6513333333332
KCLE20170726,6643.028166666667
KCLE20170728,5337.1850416666675
KCLE20170729,4031.9844999999996
KCLE20170730,9362.297999999999
KCLE20170801,3256.769166666667
KCLE20170802,19851.8695
KCLE20170803,13812.012750000002
KCLE20170804,8499.634333333333
KCLE20170805,8113.695333333333
KCLE20170807,5618.417
KCLE20170809,28296.67525
KCLE20170810,2841.4325
KCLE20170812,10548.716033333332
KCLE20170813,29102.273775
KCLE20170814,28403.321
KCLE20170815,11680.853108333333
KCLE20170816,1092.71175
KCLE20170817,10096.971716666667
KCLE20170818,12184.815783333333
KCLE20170819,20340.0193
KCLE20170820,10539.529166666667
KCLE20170821,14396.86505
KCLE20170822,5691.0865
KCLE20170823,50582.1909
KCLE20170824,32922.061775
KCLE20170825,21148.997858333336
KCLE20170826,26508.584666666666
KCLE20170827,23263.240916666666
KCLE20170828,12017.27015
KCLE20170829,12990.414208333334
KCLE20170830,21587.398999999998
KCLE20170831,16152.9235
KCLE20170901,10352.363833333333
KCLE20170902,7938.7869083333335
KCLE20170903,1663.86825
KCLE20170904,3379.6575000000003
KCLE20170905,2415.146458333333
KCLE20170906,6185.541000000001
KCLE20170907,6103.043000000001
KCLE20170908,1671.0455000000002
KCLE20170909,25085.91825
KCLE20170910,570.634
