station_day,n_animals
KDLH20180716,1057.8497499999999
KDLH20180717,4557.432
KDLH20180721,106.54925000000001
KDLH20180722,525.6375833333334
KDLH20180724,281.56183333333337
KDLH20180728,3735.8027500000007
KDLH20180729,3815.6220000000003
KDLH20180730,1244.42825
KDLH20180731,1400.41075
KDLH20180802,3003.476125
KDLH20180803,10233.654999999999
KDLH20180804,3114.5022
KDLH20180805,2009.693625
KDLH20180807,9228.039875
KDLH20180808,3636.280666666667
KDLH20180809,518.0409999999999
KDLH20180810,9332.2595
KDLH20180811,2663.1538333333333
KDLH20180812,12908.293000000001
KDLH20180813,8995.771833333332
KDLH20180814,921.0574999999999
KDLH20180818,5023.1862
KDLH20180819,3790.4688
KDLH20180821,3324.6075
KDLH20180823,4389.538166666666
KDLH20180825,2086.8945
KDLH20180826,1240.9851999999998
KDLH20180827,2059.738625
KDLH20180829,4397.9445000000005
KDLH20180830,2047.051
