station_day,n_animals
KDTX20150715,1875.7450000000001
KDTX20150725,2066.7200000000003
KDTX20150728,6609.685666666666
KDTX20150730,4351.0705
KDTX20150731,8256.031333333332
KDTX20150801,5758.3045833333335
KDTX20150803,745.5996666666666
KDTX20150805,16785.550666666666
KDTX20150806,13605.57
KDTX20150807,11838.753916666667
KDTX20150808,10266.892133333333
KDTX20150809,16742.867833333334
KDTX20150810,25228.36633333333
KDTX20150811,13807.423250000002
KDTX20150812,11480.528049999999
KDTX20150813,18965.854333333333
KDTX20150814,14489.858733333334
KDTX20150815,16577.722783333335
KDTX20150816,40622.4865
KDTX20150817,20961.7395
KDTX20150818,30565.002500000002
KDTX20150819,23413.236016666666
KDTX20150821,15237.941333333332
KDTX20150822,20040.4182
KDTX20150823,28931.552833333335
KDTX20150824,14137.375166666667
KDTX20150825,3053.76995
KDTX20150826,8437.915666666668
KDTX20150827,9550.027166666667
KDTX20150828,11033.496166666668
KDTX20150829,8912.03
KDTX20150830,4044.978666666667
KDTX20150831,8383.3855
KDTX20150902,3073.7065
KDTX20150904,3272.612633333333
KDTX20150907,4931.4185
KDTX20150908,6455.549499999999
KDTX20150910,516.209
KDTX20150911,3867.5979500000003
KDTX20150912,4545.9692000000005
KDTX20150913,2316.9129333333335
KDTX20150920,10097.22785
KDTX20150930,903.6780000000001
