station_day,n_animals
KGRB20180723,5491.720666666667
KGRB20180724,4249.884666666667
KGRB20180725,8602.862
KGRB20180726,4152.8976
KGRB20180727,3512.055
KGRB20180728,4013.577333333333
KGRB20180730,11504.8588
KGRB20180731,8348.762
KGRB20180801,15430.201
KGRB20180802,7749.074333333333
KGRB20180803,21371.603666666666
KGRB20180804,1693.6645
KGRB20180805,12598.786666666667
KGRB20180806,12327.963625
KGRB20180807,51604.2165
KGRB20180808,36115.51491666667
KGRB20180809,24707.40565
KGRB20180812,52766.15508333333
KGRB20180813,37690.684
KGRB20180817,13770.3538
KGRB20180818,57747.638333333336
KGRB20180819,19995.863666666668
KGRB20180822,2990.377
KGRB20180823,9457.403666666667
KGRB20180826,33849.011666666665
KGRB20180907,2982.259666666667
KGRB20180910,1372.904
