station_day,n_animals
KGRR20160713,2417.891
KGRR20160714,3115.048666666667
KGRR20160715,2541.781
KGRR20160716,3193.3686666666667
KGRR20160718,2916.9842
KGRR20160720,6932.3054999999995
KGRR20160721,3051.9534999999996
KGRR20160722,3413.692
KGRR20160725,3317.0040833333333
KGRR20160727,3240.6240000000003
KGRR20160729,2334.900583333333
KGRR20160730,1040.2
KGRR20160731,1119.458
KGRR20160801,5301.8915
KGRR20160802,9842.597
KGRR20160804,8458.195
KGRR20160805,9786.648666666666
KGRR20160806,1984.0104999999999
KGRR20160807,14213.11175
KGRR20160808,15618.795
KGRR20160809,11379.080750000001
KGRR20160810,12363.7125
KGRR20160811,6644.320333333333
KGRR20160812,4138.900125
KGRR20160814,38661.25816666667
KGRR20160820,21415.716333333334
KGRR20160823,2601.1036666666664
KGRR20160826,31797.012000000002
KGRR20160829,7938.623
KGRR20160902,1411.234
KGRR20160911,5166.9490000000005
KGRR20160914,22186.845166666666
KGRR20160918,13786.1076
KGRR20160924,9316.1728
KGRR20160928,6751.9396
KGRR20161019,74728.6086
