station_day,n_animals
KIWX20160709,495.26
KIWX20160712,595.4963333333334
KIWX20160715,69581.82285
KIWX20160720,38.11
KIWX20160722,185.02983333333336
KIWX20160723,927.7195
KIWX20160724,452.95266666666674
KIWX20160725,296.3094
KIWX20160726,2478.346
KIWX20160727,1183.4334999999999
KIWX20160728,532.8363999999999
KIWX20160729,2554.6850999999997
KIWX20160730,133.89839999999998
KIWX20160731,820.242
KIWX20160801,4541.036249999999
KIWX20160802,3162.0235
KIWX20160803,6775.459
KIWX20160804,13055.4146
KIWX20160805,884.6120000000001
KIWX20160806,2337.7653333333333
KIWX20160807,311.57725
KIWX20160808,4811.1895
KIWX20160809,2474.9528333333333
KIWX20160811,1834.3445000000002
KIWX20160812,483.16183333333333
KIWX20160814,3353.6386333333335
KIWX20160817,404.41274999999996
KIWX20160818,4844.1765
KIWX20160819,6648.999
KIWX20160820,12750.105000000001
KIWX20160821,7247.557
KIWX20160824,12635.342
KIWX20160827,3970.499
KIWX20160828,6559.9836
KIWX20160831,13935.611666666668
KIWX20160901,6092.793
KIWX20160902,2633.5789999999997
KIWX20160903,761.3389999999999
KIWX20160905,774.2604999999999
KIWX20160919,4275.797333333333
KIWX20160927,109.544
KIWX20161002,1094.277
KIWX20161003,6294.724083333333
KIWX20161008,3002.505333333333
KIWX20161013,5453.58575
KIWX20161021,1724.7322
KIWX20161031,187.38899999999998
