station_day,n_animals
KLOT20190722,285.879
KLOT20190723,91.50900000000001
KLOT20190728,490.69500000000005
KLOT20190730,513.1486666666666
KLOT20190731,414.9463333333333
KLOT20190802,16119.430499999999
KLOT20190804,570.8905
KLOT20190806,1685.9288749999998
KLOT20190808,9987.786333333333
KLOT20190811,38634.4839
KLOT20190812,1414.846
KLOT20190813,2276.33425
KLOT20190814,6415.532008333334
KLOT20190815,5558.419
KLOT20190818,759.7982499999999
KLOT20190819,4889.439583333333
KLOT20190820,6737.91
KLOT20190821,15906.876166666667
KLOT20190824,6735.699500000001
KLOT20190825,5244.42175
KLOT20190827,5343.797166666667
KLOT20190902,3677.46375
KLOT20191004,2699.603625
