station_day,n_animals
KMKX20180723,2217.3802
KMKX20180725,1413.6597499999998
KMKX20180726,976.0571666666666
KMKX20180727,446.2025
KMKX20180801,2841.2535
KMKX20180802,2291.7864999999997
KMKX20180803,2483.1226666666666
KMKX20180804,4635.721666666667
KMKX20180805,3103.8878333333337
KMKX20180806,1259.5311666666666
KMKX20180807,13985.821
KMKX20180811,8840.77825
KMKX20180814,7436.758249999999
KMKX20180816,7898.204875
KMKX20180817,9546.23675
KMKX20180818,22788.978499999997
KMKX20180819,31039.940499999997
KMKX20180820,4782.2046666666665
KMKX20180821,9072.849400000001
KMKX20180822,4559.3672
KMKX20180826,6331.1158749999995
KMKX20180830,1867.567
KMKX20180906,6475.3192500000005
KMKX20180910,1752.7581666666665
