station_day,n_animals
KTYX20150702,58.163
KTYX20150711,552.2635
KTYX20150712,831.3606666666666
KTYX20150716,3115.060333333333
KTYX20150720,1486.6932000000002
KTYX20150722,1894.3532
KTYX20150723,1978.4993333333332
KTYX20150731,398.4286666666667
KTYX20150801,39.480000000000004
KTYX20150802,515.6553333333334
KTYX20150804,68.51899999999999
KTYX20150805,461.2735
KTYX20150806,2418.6892500000004
KTYX20150807,3325.950333333333
KTYX20150808,4504.019333333333
KTYX20150809,2476.6385
KTYX20150810,950.3905
KTYX20150813,6563.2390000000005
KTYX20150814,3113.6936666666666
KTYX20150815,2011.2218
KTYX20150816,2838.3435
KTYX20150817,3862.5786666666672
KTYX20150818,640.103
KTYX20150819,5818.635
KTYX20150820,487.067
KTYX20150821,3003.9646666666667
KTYX20150823,4488.0107499999995
KTYX20150824,2328.0124
KTYX20150825,703.4493333333334
KTYX20150826,3331.2094
KTYX20150827,5256.571
KTYX20150828,4935.866666666667
KTYX20150829,2770.2920000000004
KTYX20150904,3545.380866666667
KTYX20150907,815.3575000000001
KTYX20150910,3082.5642000000003
KTYX20150911,2337.6718
KTYX20150916,1342.632
KTYX20150920,390.67
KTYX20150921,1568.088
KTYX20150924,1376.713
