station_day,n_animals
KAPX20170607,52.642
KAPX20170609,82.872
KAPX20170613,504.53999999999996
KAPX20170616,1703.8773333333336
KAPX20170622,105207.42800000001
KAPX20170623,3458.8541666666665
KAPX20170624,322.97200000000004
KAPX20170625,3201.228
KAPX20170626,312.92233333333337
KAPX20170704,2185.777
KAPX20170713,14.90325
KAPX20170715,9891.070833333333
KAPX20170724,439.38699999999994
KAPX20170731,46.217
KAPX20170803,475.4166666666667
KAPX20170808,2577.037
KAPX20170820,32911.99800000001
KAPX20170824,1724.6229999999998
KAPX20170830,79.7175
KAPX20170902,8390.994
KAPX20170913,451.8202
KAPX20170914,314.98900000000003
KAPX20170919,834.966
KAPX20170921,2297.495
KAPX20170925,64213.098
KAPX20170930,38.8225
KAPX20171002,38.66499999999999
KAPX20171004,135.993
KAPX20171005,245.071
KAPX20171016,1714.158
KAPX20171021,1980.9951666666666
KAPX20171024,3796.2653999999993
KAPX20171027,639.9376666666666
KAPX20171030,34.086999999999996
