station_day,n_animals
KBUF20150607,19273.163999999997
KBUF20150608,315.8533333333333
KBUF20150611,12196.885
KBUF20150613,385.7414
KBUF20150624,15152.812000000002
KBUF20150625,603.6155
KBUF20150627,2051.7615
KBUF20150629,85.605
KBUF20150704,577.5503333333332
KBUF20150705,1296.9845
KBUF20150709,28329.751500000002
KBUF20150710,24720.3834
KBUF20150711,375.24933333333337
KBUF20150713,10463.9835
KBUF20150716,1292.592
KBUF20150722,259.08525
KBUF20150723,5074.494166666667
KBUF20150724,10692.721291666667
KBUF20150725,12828.164
KBUF20150726,5399.6062
KBUF20150727,47694.70041666667
KBUF20150728,12565.82
KBUF20150729,57832.46399999999
KBUF20150730,35027.22895
KBUF20150731,15422.732166666667
KBUF20150801,6132.244666666667
KBUF20150802,4738.1885
KBUF20150804,24005.046875
KBUF20150805,22730.419083333334
KBUF20150806,6478.4125
KBUF20150807,34358.2625
KBUF20150808,6224.998833333333
KBUF20150809,6891.798666666667
KBUF20150810,3948.199
KBUF20150811,665.697
KBUF20150812,9435.663083333333
KBUF20150813,8183.218750000001
KBUF20150814,5886.970899999999
KBUF20150815,3873.0496
KBUF20150816,113071.24366666665
KBUF20150817,18966.71675
KBUF20150818,10280.653583333333
KBUF20150819,7037.379733333332
KBUF20150821,11021.91425
KBUF20150822,8222.278999999999
KBUF20150823,35996.26708333333
KBUF20150824,6217.014700000001
KBUF20150825,260.5463333333333
KBUF20150826,4613.34225
KBUF20150827,7748.718000000001
KBUF20150828,7820.1327
KBUF20150829,11480.243
KBUF20150830,87.72189999999999
KBUF20150831,1853.292
KBUF20150901,3534.189
KBUF20150902,3528.3635
KBUF20150903,420.476
KBUF20150904,4492.549333333333
KBUF20150905,2182.0703999999996
KBUF20150906,2447.756
KBUF20150907,3834.16125
KBUF20150910,4983.061766666667
KBUF20150911,4640.7058
KBUF20150915,532.774
KBUF20150916,9701.483708333333
KBUF20150917,569.5116666666667
KBUF20150918,74191.79100000001
KBUF20150920,13067.083166666667
KBUF20150921,5129.029933333333
KBUF20150922,751.543
KBUF20150923,2247.40625
KBUF20150924,413.5286666666666
KBUF20150925,4635.166666666666
KBUF20150926,2742.4228
KBUF20150927,291.074
KBUF20151003,431.15616666666665
KBUF20151005,1521.8733000000002
KBUF20151007,2543.411666666667
KBUF20151008,302.96933333333334
KBUF20151012,3453.4015
KBUF20151019,432.337
KBUF20151026,154.52900000000002
KBUF20151029,164.4556
KBUF20151031,2199.26775
