station_day,n_animals
KCLE20160606,707.049
KCLE20160608,494.203
KCLE20160614,60.9945
KCLE20160616,127.43975
KCLE20160620,1650.0523333333333
KCLE20160622,2373.5534
KCLE20160623,4.263999999999999
KCLE20160627,4643.949500000001
KCLE20160629,240.493
KCLE20160702,256.46000000000004
KCLE20160703,826.6254999999999
KCLE20160704,1012.2890000000001
KCLE20160705,565.6585
KCLE20160710,487.28375000000005
KCLE20160712,1662.9717916666666
KCLE20160714,18.441333333333333
KCLE20160716,625.4051666666667
KCLE20160717,403.064875
KCLE20160719,5931.2325
KCLE20160720,3012.4946666666665
KCLE20160721,2604.2110000000002
KCLE20160722,61.8825
KCLE20160723,1545.0566250000002
KCLE20160724,2682.1469583333333
KCLE20160725,913.0730416666667
KCLE20160726,12612.784033333333
KCLE20160727,28404.30065
KCLE20160728,4082.6494583333333
KCLE20160729,13859.169750000001
KCLE20160730,10208.528925
KCLE20160731,9315.604416666667
KCLE20160801,17190.105583333334
KCLE20160802,22855.744833333334
KCLE20160803,35537.59066666666
KCLE20160804,16107.612833333333
KCLE20160805,15669.310333333335
KCLE20160806,22971.123816666666
KCLE20160807,21018.33205
KCLE20160808,33157.63626666666
KCLE20160809,28825.8939
KCLE20160810,5493.2000499999995
KCLE20160811,11488.675283333334
KCLE20160812,16380.986033333334
KCLE20160813,5833.83855
KCLE20160814,5090.249066666667
KCLE20160815,17713.193375
KCLE20160816,2489.1890416666665
KCLE20160817,15585.904641666668
KCLE20160818,34480.487733333335
KCLE20160819,29257.27235
KCLE20160820,28829.67675
KCLE20160821,13934.432508333333
KCLE20160822,66183.36330833333
KCLE20160823,29980.458533333334
KCLE20160824,8828.661833333334
KCLE20160825,5306.342375
KCLE20160826,45055.12948333333
KCLE20160827,104019.41965
KCLE20160828,12988.651666666668
KCLE20160829,1754.7595000000001
KCLE20160830,9233.268833333334
KCLE20160831,5052.5795
KCLE20160901,8127.628
KCLE20160902,2743.5625
KCLE20160903,2802.226166666667
KCLE20160905,80455.45599999999
KCLE20160906,708.3416
KCLE20160907,1329.1979999999999
KCLE20160908,98.58212499999999
KCLE20160909,24196.0804
KCLE20160910,497.11266666666666
KCLE20160911,7596.338749999999
KCLE20160912,17475.458833333334
KCLE20160913,30644.189416666668
KCLE20160914,1253.369875
KCLE20160918,99.39049999999999
KCLE20160919,15891.412375000002
KCLE20160920,26340.239
KCLE20160923,3004.6265
KCLE20160925,2848.514
KCLE20160926,1385.179
KCLE20160927,6102.5774
KCLE20161001,1597.0490000000002
KCLE20161002,199.60925000000003
KCLE20161003,518.6505
KCLE20161005,2356.4092
KCLE20161006,4120.925833333333
KCLE20161007,6753.176833333333
KCLE20161008,4751.0035
KCLE20161009,2997.0078000000003
KCLE20161010,6662.324250000001
KCLE20161011,19514.102
KCLE20161012,2560.0473333333334
KCLE20161014,1743.8944999999999
KCLE20161015,5605.178
KCLE20161018,1488.187
KCLE20161019,22677.627466666665
KCLE20161026,5829.078333333334
KCLE20161028,10932.183166666666
KCLE20161029,4467.969333333333
KCLE20161030,2813.779583333333
KCLE20161031,6389.594333333333
