station_day,n_animals
KDLH20190603,365.4805
KDLH20190606,456.41875
KDLH20190607,5266.695
KDLH20190614,578.5535
KDLH20190619,3279.045166666667
KDLH20190620,2529.15
KDLH20190621,195.96
KDLH20190624,946387.0234000001
KDLH20190706,889.8885
KDLH20190711,18145.890583333334
KDLH20190712,31307.1656
KDLH20190713,258.401
KDLH20190716,12908.79175
KDLH20190719,3080.8951666666667
KDLH20190720,10529.352
KDLH20190722,597.4621666666667
KDLH20190723,586.221
KDLH20190724,329.4905
KDLH20190731,368.94666666666666
KDLH20190801,931.6435000000001
KDLH20190802,192.50233333333333
KDLH20190803,1599.0491
KDLH20190804,1662.3305
KDLH20190805,14687.703899999999
KDLH20190807,2792.639
KDLH20190808,4545.793333333333
KDLH20190809,2689.748833333333
KDLH20190810,8177.423833333333
KDLH20190811,6461.7627
KDLH20190812,20332.015083333332
KDLH20190813,3717.56965
KDLH20190814,10615.5775
KDLH20190815,15292.450833333334
KDLH20190816,4180.9103
KDLH20190817,16032.229366666666
KDLH20190818,1077.348625
KDLH20190819,8977.879708333334
KDLH20190829,882.5904999999999
KDLH20190830,5526.711083333334
KDLH20190831,2352.207375
KDLH20190901,633.2661666666667
KDLH20190902,1821.9592
KDLH20190904,4553.985166666667
KDLH20190914,2962.8705
KDLH20190923,5457.7294999999995
KDLH20190926,381.21725000000004
KDLH20191001,611459.9916
KDLH20191007,568.5076666666666
