station_day,n_animals
KDTX20160604,4722.527
KDTX20160617,683.029
KDTX20160619,4760.5585
KDTX20160627,2438.6645
KDTX20160628,1064.0316666666668
KDTX20160629,6564.400666666667
KDTX20160709,143.022
KDTX20160715,136.75900000000001
KDTX20160719,17837.29925
KDTX20160720,884.9479999999999
KDTX20160721,427.32466666666664
KDTX20160723,49710.4668
KDTX20160724,31440.7815
KDTX20160726,59627.42075
KDTX20160727,31530.7713
KDTX20160728,9925.1232
KDTX20160729,8719.491266666668
KDTX20160730,18643.988133333332
KDTX20160731,4495.4431
KDTX20160801,9713.88675
KDTX20160802,15268.6528
KDTX20160803,8998.7694
KDTX20160804,33590.54275
KDTX20160805,14621.400450000001
KDTX20160806,15125.9745
KDTX20160807,23447.924083333335
KDTX20160808,65111.8346
KDTX20160809,20377.413583333335
KDTX20160810,17154.31855
KDTX20160811,9646.1954
KDTX20160812,9270.98075
KDTX20160813,18259.922899999998
KDTX20160814,12754.586
KDTX20160815,24631.199233333333
KDTX20160817,17925.8442
KDTX20160818,20050.254316666666
KDTX20160819,34620.2998
KDTX20160820,47105.13225
KDTX20160821,9753.0058
KDTX20160822,55037.10713333333
KDTX20160823,14535.907333333333
KDTX20160824,8695.596800000001
KDTX20160825,2513.9023
KDTX20160826,32438.093833333332
KDTX20160827,59086.02875
KDTX20160828,7132.518916666666
KDTX20160829,7514.136666666666
KDTX20160830,74668.617
KDTX20160831,2902.8905999999997
KDTX20160901,7866.5581
KDTX20160902,7902.691033333333
KDTX20160903,2533.266666666667
KDTX20160904,2022.7086666666667
KDTX20160905,63754.546500000004
KDTX20160906,665.1033333333334
KDTX20160907,415.76399999999995
KDTX20160908,780.3335
KDTX20160909,8346.186666666666
KDTX20160911,9016.208133333334
KDTX20160912,5226.284199999999
KDTX20160913,12852.889000000001
KDTX20160914,84782.15035
KDTX20160915,21685.262333333332
KDTX20160916,1097.72175
KDTX20160918,4811.7855
KDTX20160919,4538.1493
KDTX20160920,2184.978
KDTX20160921,123546.27466666668
KDTX20160922,4694.769266666666
KDTX20160923,3452.869833333333
KDTX20160924,7700.270583333334
KDTX20160925,253.41900000000004
KDTX20160928,4800.2621500000005
KDTX20160930,35787.00791666666
KDTX20161002,487.64395833333333
KDTX20161003,2968.4001
KDTX20161006,48.83
KDTX20161008,2379.7400000000002
KDTX20161009,2321.8089999999997
KDTX20161011,6192.8165
KDTX20161012,1195.039
KDTX20161013,1292.04
KDTX20161014,9414.7075
KDTX20161016,1154.8196666666668
KDTX20161019,49690.76866666667
KDTX20161020,10933.697833333332
KDTX20161021,612.0033333333333
KDTX20161023,9337.527999999998
KDTX20161024,3005.6865
KDTX20161025,4320.390333333333
KDTX20161026,3494.154666666667
KDTX20161028,4790.59025
KDTX20161029,1330.636
