station_day,n_animals
KGRB20190601,951.5215000000001
KGRB20190605,48.9775
KGRB20190615,160.69366666666667
KGRB20190621,451.24933333333337
KGRB20190623,2037.9614166666668
KGRB20190629,669.1718750000001
KGRB20190703,18379.224000000002
KGRB20190707,945.8176666666667
KGRB20190709,347.58575
KGRB20190713,1328.8998333333332
KGRB20190714,1889.1918333333333
KGRB20190716,648.5991250000001
KGRB20190719,3359.4575000000004
KGRB20190722,20284.434125
KGRB20190723,9305.631958333333
KGRB20190724,2732.2499166666666
KGRB20190725,3552.9825
KGRB20190728,11396.767833333333
KGRB20190730,27794.630916666665
KGRB20190731,20812.757741666668
KGRB20190801,10739.0655
KGRB20190802,18357.55195
KGRB20190803,13691.976216666666
KGRB20190804,75479.4069
KGRB20190805,29408.840833333332
KGRB20190806,7413.0335000000005
KGRB20190807,21827.562333333335
KGRB20190808,38808.35041666667
KGRB20190809,24855.597541666662
KGRB20190810,29903.813899999997
KGRB20190811,16924.423541666667
KGRB20190812,34471.846666666665
KGRB20190813,77419.22073333334
KGRB20190814,2174.2335000000003
KGRB20190815,35495.285375
KGRB20190816,17124.256708333334
KGRB20190817,25547.317291666666
KGRB20190818,27854.606566666665
KGRB20190819,38243.254583333335
KGRB20190820,59079.27675
KGRB20190821,38637.81333333334
KGRB20190822,58789.209749999995
KGRB20190823,36076.70799166667
KGRB20190824,13498.803333333335
KGRB20190825,20245.707083333335
KGRB20190827,5967.76275
KGRB20190829,7479.330875
KGRB20190830,106121.89533333332
KGRB20190831,25469.949666666667
KGRB20190901,4295.665683333333
KGRB20190902,12245.0125
KGRB20190906,3874.7025
KGRB20190908,2249.7127499999997
KGRB20190909,6226.318166666666
KGRB20190912,1327.8768333333335
KGRB20190913,2965.2185833333333
KGRB20190914,5116.708500000001
KGRB20190918,5337.608
KGRB20190920,3551.5774999999994
KGRB20190923,7799.237425
KGRB20190925,1800.6743333333334
KGRB20190926,10418.354
KGRB20190928,729.8085
KGRB20191004,3693.4417999999996
KGRB20191006,8234.96275
KGRB20191007,4727.247
KGRB20191009,5773.0018
KGRB20191010,6023.422875
KGRB20191017,2041.0469999999998
KGRB20191020,6679.8925
KGRB20191023,4096.731833333332
KGRB20191026,5132.885333333333
KGRB20191027,2907.8123333333333
