station_day,n_animals
KGRR20190611,7724.340249999999
KGRR20190624,15.03225
KGRR20190628,66.364875
KGRR20190704,996.85725
KGRR20190705,1508.8407499999998
KGRR20190706,2053.107
KGRR20190709,2355.69925
KGRR20190711,4198.795875000001
KGRR20190712,454.983
KGRR20190713,1244.2941666666668
KGRR20190714,3743.8568
KGRR20190715,2104.3044999999997
KGRR20190716,2333.491
KGRR20190717,2839.4813999999997
KGRR20190718,3043.093625
KGRR20190719,357.6825
KGRR20190720,1803.1926250000001
KGRR20190721,3865.3477
KGRR20190722,3904.0950000000003
KGRR20190723,4489.883833333333
KGRR20190724,13253.431375
KGRR20190725,96755.447625
KGRR20190726,4101.5626
KGRR20190727,2475.8057499999995
KGRR20190728,2754.258
KGRR20190729,6400.949366666667
KGRR20190730,15844.0613
KGRR20190731,4729.492166666667
KGRR20190801,15846.510708333335
KGRR20190802,8375.238666666666
KGRR20190803,27767.06375
KGRR20190804,11508.101833333334
KGRR20190805,23456.088083333332
KGRR20190806,4593.198399999999
KGRR20190807,15466.337166666666
KGRR20190808,6773.482033333333
KGRR20190809,12212.988749999999
KGRR20190810,11782.244291666668
KGRR20190811,9208.497
KGRR20190812,13819.318666666668
KGRR20190813,17370.276575
KGRR20190814,26417.30345
KGRR20190815,14712.064208333333
KGRR20190816,31098.902000000006
KGRR20190817,13354.753433333333
KGRR20190818,6735.752216666667
KGRR20190819,16506.779166666667
KGRR20190820,15224.483333333334
KGRR20190821,16478.064083333335
KGRR20190822,31189.763075
KGRR20190823,12303.105474999998
KGRR20190824,22576.697249999997
KGRR20190825,19183.969166666666
KGRR20190826,6161.738166666666
KGRR20190827,1720.72525
KGRR20190828,8810.363833333333
KGRR20190829,16884.1135
KGRR20190831,9692.795291666665
KGRR20190902,5934.656541666666
KGRR20190903,2993.167833333333
KGRR20190904,10129.445
KGRR20190905,10852.335333333334
KGRR20190907,7804.864249999999
KGRR20190908,14100.499166666668
KGRR20190909,18.24575
KGRR20190912,18384.55283333333
KGRR20190916,1593.61225
KGRR20190917,3051.369
KGRR20190918,20765.27225
KGRR20190920,7505.417125
KGRR20190923,899.435375
KGRR20190924,7536.214666666667
KGRR20190926,3538.385375
KGRR20190928,458.37600000000003
KGRR20190929,1225.0385
KGRR20191004,13157.673591666668
KGRR20191006,285.381875
KGRR20191007,2822.4505499999996
KGRR20191009,3923.9752
KGRR20191010,8192.171875
KGRR20191012,3151.2163333333333
KGRR20191017,4579.48275
KGRR20191018,10000.77725
KGRR20191024,3796.239833333333
KGRR20191028,1283.3916666666667
