station_day,n_animals
KIWX20170605,45916.16133333334
KIWX20170614,1899.743
KIWX20170616,36343.174999999996
KIWX20170617,3569.1785
KIWX20170620,127.51000000000002
KIWX20170628,2497.6068333333333
KIWX20170705,10731.705666666665
KIWX20170707,1271.0531999999998
KIWX20170709,35267.995500000005
KIWX20170713,1195.34975
KIWX20170714,38.338499999999996
KIWX20170715,3111.3315
KIWX20170717,4065.33
KIWX20170718,2940.406
KIWX20170720,116.28399999999999
KIWX20170721,3767.1146666666664
KIWX20170723,6836.1189583333335
KIWX20170724,1187.2759999999998
KIWX20170726,4061.3577999999998
KIWX20170727,6226.368166666667
KIWX20170728,3977.6967999999997
KIWX20170729,2812.8668333333335
KIWX20170730,1370.9566666666667
KIWX20170731,975.293
KIWX20170801,1351.652
KIWX20170802,141994.8209
KIWX20170803,140955.707
KIWX20170805,389.4855
KIWX20170806,15701.806066666668
KIWX20170807,5111.7898000000005
KIWX20170808,20843.6515
KIWX20170809,1125.3256666666666
KIWX20170810,13072.108666666669
KIWX20170811,3114.1473
KIWX20170812,4436.349833333334
KIWX20170813,14602.34175
KIWX20170814,29156.543
KIWX20170815,13858.349549999999
KIWX20170816,21405.218933333337
KIWX20170817,5346.4501
KIWX20170818,16289.437
KIWX20170819,15798.498225
KIWX20170820,17198.995666666666
KIWX20170821,7410.878833333334
KIWX20170823,16408.73415
KIWX20170824,160514.748125
KIWX20170825,15970.472416666667
KIWX20170826,39988.32725
KIWX20170827,114095.55791666667
KIWX20170829,1815.3762499999998
KIWX20170830,23521.374833333335
KIWX20170901,5791.724333333334
KIWX20170902,4261.130533333333
KIWX20170903,3053.573
KIWX20170904,5074.97005
KIWX20170905,3132.697166666667
KIWX20170908,14685.918450000001
KIWX20170909,157.50033333333334
KIWX20170910,823272.6215
KIWX20170911,18455.510000000002
KIWX20170912,183.445
KIWX20170913,522.3416666666667
KIWX20170914,3258.575
KIWX20170917,5000.842500000001
KIWX20170918,519240.60475
KIWX20170920,567.5015
KIWX20170921,217.47333333333333
KIWX20170923,16999.764833333335
KIWX20170924,4502.499666666667
KIWX20170928,3681.4526
KIWX20170929,49356.861600000004
KIWX20170930,12910.720433333332
KIWX20171001,1321.88975
KIWX20171005,20227.566641666665
KIWX20171008,23959.31225
KIWX20171009,16086.017833333335
KIWX20171010,6389.9591666666665
KIWX20171013,16931.755333333334
KIWX20171014,10619.367250000001
KIWX20171016,31979.417833333333
KIWX20171017,1531.8470000000002
KIWX20171018,9449.600166666667
KIWX20171019,5020.6092499999995
KIWX20171020,1760.7653333333333
KIWX20171021,1930.3625
KIWX20171022,5186.990333333333
KIWX20171023,1237.9353333333331
KIWX20171025,6572.896750000001
KIWX20171026,3220.05425
KIWX20171029,3194.196
