station_day,n_animals
KLOT20160602,29377.4335
KLOT20160604,10329.8625
KLOT20160606,59237.50200000001
KLOT20160607,107.35249999999999
KLOT20160611,49599.547000000006
KLOT20160612,6800.359
KLOT20160617,31306.117333333335
KLOT20160619,6610.0325
KLOT20160621,2137.8635
KLOT20160624,29480.724500000004
KLOT20160625,31720.293
KLOT20160628,764.8969999999999
KLOT20160701,1081.7024
KLOT20160702,27.362000000000002
KLOT20160703,41099.0075
KLOT20160705,8430.0985
KLOT20160709,341.5855
KLOT20160710,39687.397
KLOT20160714,8506.074499999999
KLOT20160727,583.3665
KLOT20160729,191.40300000000002
KLOT20160730,485.4297916666667
KLOT20160731,3856.016833333333
KLOT20160801,28273.936999999998
KLOT20160802,49122.44733333334
KLOT20160803,19135.7004
KLOT20160804,3364.444
KLOT20160805,684.3857999999999
KLOT20160806,46413.670666666665
KLOT20160807,27858.904333333332
KLOT20160808,18663.18925
KLOT20160809,3033.928516666667
KLOT20160810,734.5469999999999
KLOT20160811,66306.49933333333
KLOT20160812,3179.529883333333
KLOT20160813,1570.7275
KLOT20160814,116996.75808333335
KLOT20160815,2780.935
KLOT20160816,4843.140266666666
KLOT20160817,7736.866333333333
KLOT20160818,5664.609783333333
KLOT20160819,2362.6800416666665
KLOT20160820,739.00925
KLOT20160821,39833.93541666667
KLOT20160822,8751.68525
KLOT20160823,6102.413500000001
KLOT20160825,2753.844
KLOT20160826,2543.1414999999997
KLOT20160828,1822.0182666666665
KLOT20160829,19567.1215
KLOT20160830,201.62599999999998
KLOT20160831,21976.22766666667
KLOT20160901,8874.541116666667
KLOT20160902,1677.2351666666666
KLOT20160904,7638.8455
KLOT20160905,1170.5716666666665
KLOT20160906,74.3095
KLOT20160911,8516.8725
KLOT20160912,52977.543000000005
KLOT20160913,606.1976666666667
KLOT20160914,23180.019833333332
KLOT20160917,5405.288
KLOT20160918,103120.43293333333
KLOT20160919,119163.3665
KLOT20160920,26125.9135
KLOT20160921,6109.3785
KLOT20160923,12574.350333333334
KLOT20160927,5545.779500000001
KLOT20161001,1917.1441666666667
KLOT20161003,1203.0756666666666
KLOT20161004,8438.282599999999
KLOT20161005,8474.368999999999
KLOT20161007,16150.401625
KLOT20161008,5829.1942500000005
KLOT20161009,12607.0865
KLOT20161010,9184.11275
KLOT20161012,173.49975
KLOT20161013,64472.6575
KLOT20161014,76274.7375
KLOT20161015,18440.989
KLOT20161017,29133.127933333337
KLOT20161019,8703.241250000001
KLOT20161020,4783.3769999999995
KLOT20161021,13130.225
KLOT20161022,27996.64575
KLOT20161023,19120.752500000002
KLOT20161024,52834.4905
KLOT20161025,10467.758
KLOT20161026,1733.8525
KLOT20161027,2647.1915999999997
KLOT20161029,6237.0395
KLOT20161030,18262.227666666666
