station_day,n_animals
KMKX20180605,136.06799999999998
KMKX20180606,218.466
KMKX20180614,4303.531800000001
KMKX20180620,51.0435
KMKX20180703,6510.947249999999
KMKX20180705,22416.814
KMKX20180706,755.3705
KMKX20180707,3977.639333333333
KMKX20180716,2277.3160000000003
KMKX20180717,8632.92815
KMKX20180718,1004.4997083333333
KMKX20180723,6375.769133333333
KMKX20180725,4819.360675
KMKX20180726,4407.963041666666
KMKX20180727,643.64175
KMKX20180728,4404.8765
KMKX20180729,13690.81375
KMKX20180730,11843.771066666664
KMKX20180731,6068.234125000001
KMKX20180801,3625.59665
KMKX20180802,6475.653791666667
KMKX20180803,1743.97875
KMKX20180804,29988.124
KMKX20180805,9489.054483333333
KMKX20180806,579376.988825
KMKX20180807,36130.0227
KMKX20180810,28383.56
KMKX20180811,13789.4365
KMKX20180812,112850.21145833333
KMKX20180813,50250.84775
KMKX20180814,41783.038283333335
KMKX20180815,38846.03098333333
KMKX20180816,11966.72335
KMKX20180817,36058.089466666665
KMKX20180818,35872.7772
KMKX20180819,71561.59216666667
KMKX20180820,8045.66325
KMKX20180822,9692.687583333332
KMKX20180823,11095.030166666667
KMKX20180826,9130.771666666666
KMKX20180830,6899.920125000001
KMKX20180901,11321.73325
KMKX20180902,2599.6355
KMKX20180903,173.28933333333336
KMKX20180904,634.1791000000001
KMKX20180906,16129.537875
KMKX20180907,4737.674041666666
KMKX20180908,1077.8925
KMKX20180909,1772.0985
KMKX20180910,4880.330916666667
KMKX20180911,5437.4965
KMKX20180912,1165.3917500000002
KMKX20180913,1204.2262499999997
KMKX20180914,935.0316666666666
KMKX20180917,6975.881249999999
KMKX20180918,902.07125
KMKX20180921,433.89250000000004
KMKX20180923,430.016
KMKX20180924,3401.9775
KMKX20180925,486.713125
KMKX20180928,4001.3951
KMKX20181006,3543.587
KMKX20181012,1949.176
KMKX20181015,925.8705
KMKX20181020,923.6425
KMKX20181026,2534.48425
KMKX20181028,4970.755
KMKX20181029,4593.31825
