station_day,n_animals
KMQT20150601,16.4055
KMQT20150603,606.13
KMQT20150606,4.15
KMQT20150608,14572.638
KMQT20150611,1224.9763333333333
KMQT20150717,56.624249999999996
KMQT20150718,2359809.6468333337
KMQT20150727,86.15
KMQT20150801,17.207
KMQT20150802,1365.8095
KMQT20150829,4345.637
KMQT20150902,891.5053333333332
KMQT20150917,438706.16325000004
KMQT20150918,122163.08266666667
KMQT20150919,9139.567466666665
KMQT20151006,34.93
KMQT20151015,15.266
KMQT20151023,7168.496666666666
KMQT20151029,5747.132166666666
