station_day,n_animals
KTYX20190602,605.3165
KTYX20190604,1166.63225
KTYX20190613,556.914875
KTYX20190708,431.8276666666667
KTYX20190714,86.7195
KTYX20190722,277.710375
KTYX20190724,1105.5921
KTYX20190725,680.3784166666667
KTYX20190729,247.6205
KTYX20190731,545.0062499999999
KTYX20190801,7060.6108
KTYX20190803,2690.7505833333335
KTYX20190804,4875.95645
KTYX20190805,4385.931333333334
KTYX20190806,2075.8540999999996
KTYX20190807,1471.6292
KTYX20190808,5347.116666666666
KTYX20190809,4268.936125
KTYX20190810,3979.2888250000005
KTYX20190811,3794.350875
KTYX20190812,7319.0105
KTYX20190813,294.86289999999997
KTYX20190814,5117.139
KTYX20190815,4724.433300000001
KTYX20190816,4759.9465
KTYX20190817,5967.669100000001
KTYX20190818,7636.508375
KTYX20190819,2379.5898
KTYX20190820,27396.780666666666
KTYX20190822,3875.4171
KTYX20190823,8089.957166666667
KTYX20190824,7230.016125
KTYX20190825,6767.68845
KTYX20190826,6126.533166666665
KTYX20190827,3040.4508
KTYX20190829,5708.390600000001
KTYX20190831,7871.742666666666
KTYX20190901,20648.65066666667
KTYX20190903,5869.694066666667
KTYX20190905,11470.308983333334
KTYX20190906,3457.5065000000004
KTYX20190908,1637.0942
KTYX20190912,1817.603625
KTYX20190913,262.8721666666667
KTYX20190917,611.1785
KTYX20190918,387.53700000000003
KTYX20190922,4449.7225
KTYX20190930,750.3629999999999
KTYX20191008,238.73133333333334
KTYX20191009,1455.039
KTYX20191015,1294.47725
KTYX20191018,188.46933333333334
KTYX20191025,36.16525
KTYX20191028,1540.44675
